,0,1,2,3,4,5,6,7,8
53,2.64,2.77,2.94,0.0,0.0,0.0,0.0,0.32,0.0
54,2.64,2.76,2.94,0.0,0.0,0.0,0.0,0.26,0.0
55,2.64,2.76,2.94,0.0,0.0,0.0,0.0,0.3,0.0
56,2.37,2.45,2.33,1.82,0.0,0.0,0.0,1.93,0.0
57,2.37,2.45,2.32,1.83,0.0,0.0,0.0,1.93,0.0
58,2.37,2.45,2.32,1.83,0.0,0.0,0.0,1.94,0.0
59,2.37,2.45,2.32,1.83,0.0,0.0,0.0,1.94,0.0
60,2.37,2.45,2.32,1.82,0.0,0.0,0.0,1.93,0.0
61,2.37,2.45,2.31,1.84,0.0,0.0,0.0,1.93,0.0
62,2.37,2.44,2.31,1.84,0.0,0.0,0.0,1.94,0.0
63,2.37,2.45,2.31,1.84,0.0,0.0,0.0,1.95,0.0
64,2.33,2.43,2.29,1.8,0.0,0.0,0.0,1.92,0.0
65,2.38,2.46,2.32,1.85,0.0,0.0,0.0,1.93,0.0
66,2.4,2.46,2.33,1.81,0.0,0.0,0.0,1.89,0.0
67,2.4,2.46,2.34,1.81,0.0,0.0,0.0,1.89,0.0
68,2.41,2.47,2.34,1.81,0.0,0.0,0.0,1.89,0.0
69,2.64,2.76,2.94,0.0,0.0,0.0,0.0,0.29,0.0
70,2.64,2.76,2.94,0.0,0.0,0.0,0.0,0.27,0.0
71,2.64,2.76,2.95,0.0,0.0,0.0,0.0,0.27,0.0
72,2.64,2.76,2.94,0.0,0.0,0.0,0.0,0.27,0.0
73,2.64,2.76,2.94,0.0,0.0,0.0,0.0,0.27,0.0
74,2.63,2.76,2.94,0.0,0.0,0.0,0.0,0.26,0.0
75,2.63,2.76,2.94,0.0,0.0,0.0,0.0,0.24,0.0
76,2.67,2.78,2.95,0.0,0.0,0.0,0.0,0.22,0.0
77,2.68,2.79,2.95,0.0,0.0,0.0,0.0,0.27,0.0
78,2.68,2.8,2.95,0.0,0.0,0.0,0.0,0.53,0.0
79,2.68,2.8,2.95,0.0,0.0,0.0,0.0,0.52,0.0
80,2.68,2.8,2.95,0.0,0.0,0.0,0.0,0.5,0.0
81,2.41,2.47,2.34,1.82,0.0,0.0,0.0,1.9,0.0
82,2.39,2.46,2.33,1.79,0.0,0.0,0.0,1.9,0.0
83,2.39,2.46,2.32,1.79,0.0,0.0,0.0,1.89,0.0
84,2.39,2.45,2.32,1.79,0.0,0.0,0.0,1.9,0.0
85,2.39,2.46,2.32,1.81,0.0,0.0,0.0,1.9,0.0
86,2.39,2.46,2.32,1.81,0.0,0.0,0.0,1.9,0.0
87,2.4,2.46,2.32,1.81,0.0,0.0,0.0,1.9,0.0
88,2.39,2.46,2.32,1.81,0.0,0.0,0.0,1.9,0.0
89,2.4,2.46,2.32,1.82,0.0,0.0,0.0,1.9,0.0
90,2.39,2.46,2.32,1.82,0.0,0.0,0.0,1.9,0.0
91,2.39,2.45,2.32,1.82,0.0,0.0,0.0,1.9,0.0
92,2.4,2.46,2.32,1.83,0.0,0.0,0.0,1.9,0.0
93,2.68,2.8,2.95,0.0,0.0,0.0,0.0,0.5,0.0
94,2.68,2.81,2.95,0.0,0.0,0.0,0.0,0.55,0.0
95,2.68,2.79,2.95,0.0,0.0,0.0,0.0,0.51,0.0
96,2.68,2.8,2.95,0.0,0.0,0.0,0.0,0.45,0.0
97,2.67,2.79,2.95,0.0,0.0,0.0,0.0,0.5,0.0
98,2.67,2.79,2.95,0.0,0.0,0.0,0.0,0.48,0.0
99,2.67,2.79,2.95,0.0,0.0,0.0,0.0,0.44,0.0
100,2.67,2.79,2.95,0.0,0.0,0.0,0.0,0.42,0.0
101,2.67,2.79,2.95,0.0,0.0,0.0,0.0,0.46,0.0
102,2.67,2.79,2.95,0.0,0.0,0.0,0.0,0.45,0.0
103,2.67,2.79,2.95,0.0,0.0,0.0,0.0,0.41,0.0
104,2.67,2.79,2.95,0.0,0.0,0.0,0.0,0.4,0.0
105,2.2,2.3,2.18,0.37,0.0,0.0,0.0,1.84,0.0
106,0.31,1.51,0.99,0.0,0.0,1.83,0.79,2.14,0.0
107,0.22,1.36,0.79,0.0,0.0,2.12,1.41,2.12,0.39
108,0.0,1.1,0.74,0.0,0.0,2.19,1.42,2.18,0.77
109,0.0,1.1,0.66,0.0,0.0,1.94,1.15,2.24,0.49
110,0.0,1.11,0.7,0.0,0.0,2.01,0.93,2.19,0.55
111,0.0,1.17,0.7,0.0,0.0,1.97,1.13,2.23,0.27
112,0.0,1.08,0.55,0.0,0.0,1.93,1.33,2.27,0.01
113,0.0,1.17,0.55,0.0,0.0,1.35,1.36,2.33,0.22
114,2.28,2.35,2.15,1.38,0.0,0.0,0.0,1.89,0.0
115,2.31,2.38,2.19,1.48,0.0,0.0,0.0,1.9,0.0
116,2.33,2.39,2.21,1.54,0.0,0.0,0.0,1.94,0.0
117,2.67,2.79,2.95,0.0,0.0,0.0,0.0,0.35,0.0
118,2.62,2.75,2.9,0.0,0.0,0.0,0.0,0.19,0.0
119,2.59,2.72,2.86,0.0,0.0,0.0,0.0,0.2,0.0
120,2.58,2.72,2.84,0.0,0.0,0.0,0.0,0.3,0.0
121,2.61,2.74,2.87,0.0,0.0,0.0,0.0,0.29,0.0
122,2.6,2.74,2.86,0.0,0.0,0.0,0.0,0.3,0.0
123,2.62,2.76,2.88,0.0,0.0,0.0,0.0,0.21,0.0
124,2.62,2.76,2.89,0.0,0.0,0.0,0.0,0.23,0.0
125,2.63,2.76,2.9,0.0,0.0,0.0,0.0,0.22,0.0
126,2.65,2.77,2.93,0.0,0.0,0.0,0.0,0.16,0.0
127,2.67,2.78,2.94,0.0,0.0,0.0,0.0,0.05,0.0
128,2.67,2.78,2.94,0.0,0.0,0.0,0.0,0.1,0.0
